CRASH TIME (HRS),DATE,DAY,LOCATION,PROBABLE CAUSE(S) OF RTC,ROUTE,VEHICLE CATEGORY,VEHICLE CLASS,Timestamp,month,X    ,Y
1456,03/06/2017,SAT,KM18-ALAIDAN,SPV,OYO-OGB,P.UP,GOVT,05/05/2017 16:00,3,4.2328801,8.1246204
2002,04/06/2017,SUN,KM1 - FRSC BASE,WOV,OGB-OYO,TNK/     CAR,COMM/   PVT,6/28/2017 10:00,4,4.31323,8.2669401
930,6/17/2017,SAT,KM13-ODO OSUN,WOV,OYO-OGB,TRK/    TRK,COMM/  COMM,7/25/2017 18:00,6,4.4053702,8.3204603
2149,6/22/2017,THU,KM3-HAWOYAYA GRAMMER SCH,WOV,OGB-ILN,BUS/   MC,COMM/   COMM,9/19/2017 13:00,6,4.5041399,8.4411001
730,6/23/2017,FRI,KM8-DANGOTE PARK,SPV,OYO-IBD,BUS/ TRK,COMM/  COMM,7/23/2017 10:00,6,4.2785201,8.20191
1020,6/26/2017,MON,KM21-IPEBA VILLAGE,WOV,OYO-OGB,CAR/   MC,PVT/   PVT,08/07/2017 12:00,6,4.1715999,8.0732603
1600,6/26/2017,MON,KM1-OJOO INTERCHANGE,ROB,IBD-OYO,CAR/      TRK,PVT/  COMM,8/31/2017 16:00,6,3.98103,7.80163
745,03/07/2017,MON,KM8-MONIYA B/STOP,SPV,IBD-OYO,CAR/     TRI,PVT/       COMM,04/07/2017 01:00,3,4.0668702,7.71386
1650,06/07/2017,THU,3KM TO ODO OBA-OLOO,WOV,OGB-OYO,BUS/   MC,PVT/  COMM,8/14/2017 18:00,6,3.95486,7.7192898
1710,7/14/2017,FRI,KM5-CUSTOM ,RTV,OYO-OGB,TRK/  TNK,COMM/  COMM,9/23/2017 6:00,7,3.91259,7.4547701
450,7/15/2017,SAT,2KM TO HIGH SCH- OLOPEMARUN,FTQ,OGB-ILN,TRL,COMM,08/02/2017 18:00,7,3.91589,7.4781699
555,7/16/2017,SUN,3KM 4RM BASE-AKINYELE BRIDGE,"TBT,OVL",IBD-OYO,BUS,COMM,08/08/2017 03:00,7,3.8963799,7.5360298
